force_mean,force_std,force_variance,force_min,force_max,torque_mean,torque_std,torque_variance,torque_min,torque_max,max_force_rate,mean_force_rate,max_torque_rate,mean_torque_rate,force_jerk_rms,torque_jerk_rms,force_jerk_max,torque_jerk_max,force_reversals,torque_reversals,pct_extreme_force,pct_extreme_torque,time_extreme_force,time_extreme_torque,force_total_variation,torque_total_variation,n_steps,n_commands,duration,original_steps,compression_ratio
7.947802441537938,4.495350060379173,20.20817216535103,0.88357464324979,14.728302048521018,-0.011192517126086111,0.13404305046997195,0.017967539379295447,-0.28088902113314124,0.298772124732658,37.66701506444366,7.830559964737731,29.8772124732658,8.695210586364391,140.07435654423736,141.22997237346993,269.05010760316895,221.31268498715406,38,26,14.634146341463413,0.0,0.8400000000000001,0,84.5700476191675,6.657101503254085,41,41,5.59,560,13.658536585365853
7.431464280725747,4.736533024719987,22.434745094263068,0.9898550040719702,14.004208686718822,-0.004231316776292603,0.10213558562803612,0.010431677851581899,-0.2851089078041902,0.23390817409100917,44.37953169079326,8.901779153669798,28.510890780419018,6.423938595810796,162.56336714574581,107.9765134796256,316.99665493423754,211.19178355865938,38,29,14.634146341463413,0.0,0.8400000000000001,0,96.13921485963382,4.912218387876081,41,41,5.59,560,13.658536585365853
7.7280646412227645,4.340234265899285,18.837633482886307,0.8895485448711828,14.506365542636953,0.003831213477595077,0.145286627291209,0.02110820406965468,-0.30104069027200625,0.3152846533459398,30.63703456615364,6.902136653891508,31.528465334593978,9.744354177941991,118.0451421002037,151.94917596927164,218.83596118681172,233.54418766365907,40,27,13.953488372093023,0.0,0.8400000000000001,0,78.2702296551297,7.856745236727999,43,43,5.87,588,13.674418604651162
8.50144130608712,4.0310797002807135,16.249603550015248,1.0570067924660786,14.133814700748518,-0.0015796919785189454,0.13103433397167913,0.017169996679401542,-0.2827106534303061,0.30364709505021836,34.82306458773424,5.892531265251311,30.364709505021835,8.446192585975941,104.39805904651267,137.24394072049503,248.7361756266731,224.92377411127285,34,26,21.62162162162162,0.0,1.12,0,57.275403898242736,5.736806638336823,37,37,5.029999999999999,504,13.621621621621621
8.35497355153446,4.5382374451622365,20.595599108672666,0.7731401341452326,14.314744093367858,0.0037662286615684636,0.08290303794854309,0.006872913701097576,-0.19799477411337257,0.24771410109628578,44.63408930167519,7.6206622583017225,24.771410109628576,4.7634614959791275,147.57739949618067,86.63400603405414,318.8149235833942,183.49192673798944,40,29,16.27906976744186,0.0,0.8300000000000001,0,86.41831000914155,3.756456001625953,43,43,5.87,588,13.674418604651162
8.505056581639623,4.447611325968882,19.781246506886678,0.8107370733537627,14.828385825274964,-0.026585340934362954,0.12509774187924955,0.01564944502328735,-0.3030894000435256,0.25187108029365646,43.523904764551645,10.166858429440166,30.308940004352557,8.335104681987627,174.84849238929425,134.93437252968192,310.8850340325117,224.5106666989078,32,23,22.857142857142858,0.0,1.12,0,93.33176038226073,5.383309571486492,35,35,4.75,476,13.6
8.322377781918616,3.9441851653590794,15.556596618638627,0.5952491325601315,14.578500028172519,0.0026736477425697925,0.08813630139963498,0.0077680076244073,-0.21743815465720473,0.24947611693930272,25.311500591968134,6.221187119466452,24.94761169393027,5.2750463914742465,103.05429821047484,93.61914612468215,180.79643279977236,184.79712365874272,32,25,11.428571428571429,0.0,0.56,0,57.110497756702024,3.4335749558236923,35,35,4.75,476,13.6
9.075230575077713,4.104926574657593,16.85042218333012,1.8957421199841755,14.68511815520541,-0.003881748196852338,0.10881747250865188,0.011841242323171207,-0.2896138082941354,0.3105915919767481,47.36805938970827,7.059473526214075,31.059159197674813,6.555682585988112,138.82797174534463,115.8246674116281,338.34328135505905,230.06784590870228,34,30,18.91891891891892,0.0,0.8300000000000001,0,68.6180826748008,4.469572285343761,37,37,5.029999999999999,504,13.621621621621621
8.052213628070813,4.096836309986663,16.784067750825137,1.4298136793549745,14.66506987066451,0.0055107914639258675,0.13195331191484047,0.01741167652529518,-0.27731590719549937,0.2986673753922775,48.408671126921895,8.532483101052097,29.86673753922775,8.870223691070837,148.24815586227407,138.5624014423775,345.7762223351564,221.23509288316848,40,30,13.953488372093023,0.0,0.8400000000000001,0,96.75835836593079,7.114059395322751,43,43,5.87,588,13.674418604651162
8.46439897580049,4.699795106491567,22.088074043002077,1.3731569674242252,14.23860955488613,0.0036413743112240562,0.13305159162752953,0.017702726034618886,-0.3124902156456452,0.27960657889135465,46.42937493504666,7.980026473597273,31.249021564564522,8.27966777155903,168.15962839542553,139.1862801030063,331.6383923931904,231.47423381158904,32,22,11.428571428571429,0.0,0.56,0,73.25664302762297,5.343253657726212,35,35,4.75,476,13.6
