,Load Accel RMS,Max Angle [deg],RMS Angle [deg],Reversals
RRT,8.741 (8.007–9.669),45.00 (45.00–45.00),21.91 (19.63–25.54),917 (645–1046)
EST,4.789 (3.701–6.002),45.00 (45.00–45.00),25.00 (22.32–27.62),401 (315–458)
