,Torque Jerk RMS,Torque Reversals,% Extreme τ,Time Extreme τ [s],Torque TV
RRT,578.865 (455.971–728.058),14 (10–18),16.7 (10.0–25.0),1.000 (1.000–2.000),2.291 (1.569–3.103)
RRT*,540.437 (427.765–705.031),14 (10–17),14.3 (7.1–25.0),1.000 (1.000–2.000),1.916 (1.541–2.917)
EST,127.627 (115.535–139.810),27 (24–30),0.0 (0.0–0.0),0.000 (0.000–0.000),5.785 (5.192–6.544)
