,mean,median,std,q25,q75,min,max,count
max_load_angle,0.7709423422126387,0.7853981633974483,0.052304939190669156,0.7853981633974483,0.7853981633974483,0.5224722936453292,0.7853981633974483,27
mean_abs_load_angle,0.3492031636006772,0.34705048011358763,0.08805824482830134,0.2935217614916504,0.3818571831519496,0.19393832167628042,0.5689188634308525,27
rms_load_angle,0.4384807360340982,0.43629866905013515,0.08832730991582766,0.389478680712566,0.4820686115539716,0.24934466665311292,0.6370889657567143,27
max_load_angular_vel,2.0743020440951727,2.0943951023931953,0.10440659355485536,2.0943951023931953,2.0943951023931953,1.551882528346587,2.0943951023931953,27
rms_load_angular_vel,1.3683382771848966,1.3454448761549713,0.2330970630978454,1.253797120594014,1.5248122973475018,0.74161060944837,1.832261293537291,27
mean_abs_load_angular_vel,1.1531627698834177,1.1445483192864052,0.24486451337658213,1.0007044148443902,1.3202319050374443,0.5989872663976229,1.6869860962510446,27
load_angular_accel_rms,4.812365563084411,4.789226887763833,1.3393966357512204,3.700626793240378,6.002113881733747,2.351643482643054,6.8169491874600885,27
load_angular_accel_max,16.97906661190032,16.133126460732694,5.781296180068913,13.674390258749305,20.149768958323357,8.200785076113837,31.321159789805098,27
mean_abs_load_angular_accel,3.018801325845366,2.9451289504024327,0.9676179193286311,2.3332067748742356,3.8528986743849094,1.4304446527320331,4.347541186890153,27
load_angle_reversals,6.62962962962963,7.0,1.8428270119605357,5.5,8.0,3.0,11.0,27
pct_time_large_swing,42.349808447219,42.0,13.377323318718743,31.166666666666664,49.39047619047619,21.228070175438596,70.37037037037037,27
time_large_swing,2.5025925925925923,2.5100000000000002,0.8304660072355696,1.82,3.125,1.1400000000000001,3.8000000000000003,27
num_violent_accel_events,132.7037037037037,140.0,66.86600539932589,65.0,186.0,36.0,267.0,27
n_steps,590.0,600.0,78.93522173763263,540.0,630.0,420.0,780.0,27
duration,5.8999999999999995,6.0,0.7893522173763261,5.4,6.3,4.2,7.8,27
