,mean,median,std,q25,q75,min,max,count
force_mean,8.46280978588919,8.698639705545215,2.550293990838475,7.6106159999999985,10.037108576601145,0.3519359999999999,13.148494789692796,100
force_std,5.120500438380387,5.245674366972828,1.5353468728455466,4.600039078098776,6.1021407920806015,5.551115123125783e-17,7.25868,100
force_variance,28.553241859210775,27.51815245824472,12.838484207728659,21.16174297195176,37.236123050588105,3.0814879110195774e-33,52.6884353424,100
force_min,0.7719450015847168,0.35193599999999997,1.390672793184339,0.35193599999999997,0.35193599999999997,0.35193599999999997,7.510613322359708,100
force_max,13.852730405129714,14.869296,3.2250269486021836,14.869296,14.869296,0.35193599999999997,14.869296,100
torque_mean,-0.039211971506359126,-0.04975616454855149,0.1277120389566679,-0.12919481255385523,0.05438549931218235,-0.3470642772560854,0.27623025326868317,100
torque_std,0.2888444726030799,0.29174435832718826,0.12425621205752356,0.22995954835934895,0.37883051479674523,0.020159580161883784,0.5654911412298306,100
torque_variance,0.09871633952588678,0.08511510419252769,0.07209116261718992,0.05288143566874294,0.14351677959066877,0.00040640867230341815,0.3197802308094162,100
torque_min,-0.4560728656915893,-0.6351344999999999,0.2320433135258873,-0.6351344999999999,-0.24544615897297908,-0.6351344999999999,-0.0027838399001483554,100
torque_max,0.3860055775070665,0.4729864042583607,0.2556040690784467,0.1333438244760372,0.6351344999999999,-0.07675103174587694,0.6351344999999999,100
max_force_rate,1258.3745706392294,1451.7359999999999,362.3583091808477,1192.99765468549,1451.7359999999999,0.0,1451.7359999999999,100
mean_force_rate,5.447240994670455,5.473424645824766,2.156591294038895,4.331893161908597,6.990914984944092,0.0,11.93745012411315,100
max_torque_rate,71.41816115699474,71.60613767782812,31.94211076447227,57.04254340184205,90.21862250461574,4.213567377909469,127.02689999999998,100
mean_torque_rate,0.28790904175611653,0.286159391996906,0.14359373846289755,0.19673825475062834,0.3680501319707151,0.014504201575883021,0.6115269906516824,100
force_jerk_rms,10510.948862234976,11110.961506133428,3573.95139747485,8616.256196558197,12833.738961382987,0.0,18278.105866944177,100
torque_jerk_rms,556.7357349755388,537.6520936696863,256.56898088295986,422.5524862169271,714.0510922047175,34.533638451107834,1136.679962260135,100
force_jerk_max,125837.4570639229,145173.59999999998,36235.830918084765,119299.76546854901,145173.59999999998,0.0,145173.59999999998,100
torque_jerk_max,7141.816115699476,7160.61376778281,3194.2110764472272,5704.254340184205,9021.862250461574,421.3567377909469,12702.689999999999,100
force_reversals,9.36,10.0,4.564952122288676,6.0,12.0,0.0,20.0,100
torque_reversals,11.42,12.0,5.1896945279013575,8.0,14.0,2.0,24.0,100
pct_extreme_force,36.86084193584193,37.5,19.729073922232214,25.0,50.0,0.0,71.42857142857143,100
pct_extreme_torque,20.95833055833056,19.090909090909093,16.567823103601448,9.583333333333332,33.33333333333333,0.0,57.14285714285714,100
time_extreme_force,2.72,3.0,1.7926899826064107,1.0,4.0,0.0,7.0,100
time_extreme_torque,1.4,1.0,1.1370704872299222,1.0,2.0,0.0,4.0,100
force_total_variation,37.95876631621014,39.91127849701013,19.57511203571461,24.330462454585977,48.75655476156422,0.0,96.31805050867251,100
torque_total_variation,2.0223043998645447,1.8877811965218845,1.3136779352038537,1.0767707133699225,2.5690770660020465,0.04336756271189023,6.109154636610307,100
n_steps,687.0,700.0,263.10308307435764,500.0,825.0,200.0,1300.0,100
n_commands,687.0,700.0,263.10308307435764,500.0,825.0,200.0,1300.0,100
duration,6.87,7.0,2.6310308307435757,5.0,8.25,2.0,13.0,100
