max_load_angle,mean_abs_load_angle,rms_load_angle,max_load_angular_vel,rms_load_angular_vel,mean_abs_load_angular_vel,load_angular_accel_rms,load_angular_accel_max,mean_abs_load_angular_accel,load_angle_reversals,pct_time_large_swing,time_large_swing,num_violent_accel_events,n_steps,duration
0.7853981633974483,0.41398084254787104,0.4847186389418302,2.0943951023931953,1.7719647421015925,1.6271489002382613,10.167079943726474,28.333990389374407,5.7433065004318635,6,55.86034912718204,2.24,138,401,4.01
0.7853981633974483,0.26612126362865446,0.3613680147948682,2.0943951023931953,1.4699894781854967,1.2477311112038918,9.615215867883963,35.49273632328544,5.533060155819401,11,28.785357737104828,1.73,207,601,6.01
0.7853981633974483,0.37518638002676974,0.4544899750890226,2.0943951023931953,1.8233230459240215,1.7281214191452128,11.883187578044206,35.61467725346537,6.283185307179586,8,50.29940119760479,2.52,155,501,5.01
0.7853981633974483,0.31365664176876457,0.4253317865383771,2.0943951023931953,1.2968146122674264,1.0292969138856911,8.529197170465789,35.332669419430296,4.454113579098364,14,40.69912609238452,3.2600000000000002,187,801,8.01
0.7853981633974483,0.2502028716635669,0.34522798432434737,2.0943951023931953,1.2987289014371663,1.0281272165290523,9.269374970850407,25.5719266289109,5.421710771304189,12,25.392296718972894,1.78,228,701,7.01
0.7853981633974483,0.3458476056532361,0.4064687555892118,2.0943951023931953,1.7646630211349998,1.6451802869191552,10.219624394438922,28.32574311172562,5.935013602213978,6,49.62593516209476,1.99,145,401,4.01
0.7853981633974483,0.3231643511149202,0.4020228149875755,2.0943951023931953,1.5781970389978779,1.3958131960055904,10.36501848811013,35.578585511750774,5.9528537043449665,18,38.76123876123876,3.88,346,1001,10.01
0.7853981633974483,0.3699904190908483,0.45599869917442193,2.0943951023931953,1.6569637982262724,1.5032393899367433,9.011776426803726,28.202473463478462,5.036991872478276,8,46.706586826347305,2.34,163,501,5.01
0.7853981633974483,0.3494952457216058,0.46438180421746683,2.0943951023931953,1.6377411759263323,1.3703966815271604,8.923130676704762,34.047122259520734,3.8870292758941707,5,46.88279301745636,1.8800000000000001,76,401,4.01
0.7853981633974483,0.4050375872605026,0.48472981972777707,2.0943951023931953,1.8096930207054231,1.7010640008799625,11.817033542981692,31.893098893761195,6.783422901877139,9,53.093812375249506,2.66,181,501,5.01
0.7853981633974483,0.3391974504689082,0.4277151792058841,2.0943951023931953,1.6617386172756297,1.5189377601575664,9.835356201716644,35.27839103524681,5.497680555333826,8,38.92215568862276,1.95,181,501,5.01
0.7853981633974483,0.35171036004131057,0.4249481937060365,2.0943951023931953,1.6918663027856147,1.5575449717083556,11.049114588570138,35.60969523353376,6.43971152110374,20,44.546211490424646,5.3500000000000005,434,1201,12.01
0.7853981633974483,0.3961707246042152,0.4717691038206576,2.0943951023931953,1.6890953469875618,1.5790126101004236,9.891523200819549,28.578623784528922,5.809242293236923,9,52.412645590682196,3.15,208,601,6.01
0.7853981633974483,0.36364474480248016,0.4718698393625225,2.0943951023931953,1.640878262224848,1.4115754807228549,8.561296816410284,35.61110168655313,3.7984013308036286,10,47.06616729088639,3.77,152,801,8.01
0.7853981633974483,0.3447110944780158,0.4212724482804076,2.0943951023931953,1.7378800946364745,1.6196607190582157,10.680941628476788,31.56166892275527,6.233998895829766,8,42.315369261477045,2.12,193,501,5.01
0.7853981633974483,0.2575467149917209,0.3510477420896033,2.0943951023931953,1.5159541861035661,1.3171323560572976,10.79008442766061,35.60330289135396,7.084761466815107,12,31.936127744510976,1.6,248,501,5.01
0.7853981633974483,0.3319491960842368,0.4217992857877518,2.0943951023931953,1.4812520439635954,1.292953402989325,10.103891672934123,32.396770889074126,5.967456178961273,19,35.964035964035965,3.6,374,1001,10.01
0.7853981633974483,0.2461607091987401,0.35698565914910946,2.0943951023931953,1.3055993849000682,1.0429052181480722,8.486994227476494,33.799307841715375,4.991938589356315,14,26.96629213483146,2.16,284,801,8.01
0.7853981633974483,0.32482318807387495,0.41139223483245263,2.0943951023931953,1.6864807048030652,1.5681128653885872,11.282110529457364,31.61001172643072,7.099289712432682,15,37.07865168539326,2.97,340,801,8.01
0.7853981633974483,0.21399816501877478,0.3301203672088347,2.0943951023931953,1.263722577011048,0.9232306340978398,8.202627363440403,30.220395179946014,4.613005663186189,6,28.903654485049834,0.87,89,301,3.0100000000000002
