,mean,median,std,q25,q75,min,max,count
force_mean,10.004033010680212,10.122619053348275,0.8431271336249742,9.482877911578298,10.549243862866827,8.089967120920008,11.833948242052367,67
force_std,3.7345828933158565,3.7589347365783126,0.8208647281477246,3.2348092877499957,4.347879903645351,1.7199847685838334,5.249796748742555,67
force_variance,14.610871290428397,14.129590353855068,5.968960436807927,10.464013182670774,18.904061850180234,2.9583476041603833,27.560365903107904,67
force_min,3.112305276025189,2.6100889391181124,2.071640910400486,1.3091367865407026,4.883397232067887,0.41109753336920496,7.7904371267477766,67
force_max,14.445058546485123,14.562932931695581,0.3586308198328423,14.230152267745202,14.745317284643887,13.530948239160207,14.864040552604017,67
torque_mean,-0.005595644454486717,-0.0050682733778658045,0.023578383983452016,-0.018721054809925287,0.004943592096068839,-0.09014592416996191,0.05138509145860845,67
torque_std,0.12618941633222067,0.1250674969195185,0.016346403959217506,0.11602133884329205,0.13773676167838128,0.08854974202075719,0.15842479137831744,67
torque_variance,0.016186985583494323,0.015641878785713766,0.004109027252794478,0.013460966200155293,0.01897180113758678,0.007841056811942651,0.025098414523263408,67
torque_min,-0.2790267204357485,-0.2969341236931664,0.03763275670052921,-0.3056612882086204,-0.2591911724872872,-0.3173266142336251,-0.15864686416765195,67
torque_max,0.2702923691265697,0.2849282545083335,0.04744940347037683,0.25930269864334077,0.299200648657109,0.05053002118276473,0.31748228993597616,67
max_force_rate,35.83594519239845,36.10262730901877,8.236883203169867,30.062191058312614,42.15156534461946,14.533103090771265,50.56144476273398,67
mean_force_rate,7.124129839459101,6.769009434964341,2.162157099220022,5.754780450144744,8.775568873719745,2.4464833565720148,13.63348370841741,67
max_torque_rate,29.58445553366135,29.89197630202533,1.896578001454846,28.976556890370954,30.847145145616906,22.817221040685386,31.748228993597614,67
mean_torque_rate,8.46868818050601,8.574009994372425,1.4383698355053303,7.260840127982938,9.63750978677406,5.158203583114184,11.074995497014076,67
force_jerk_rms,133.84460191742326,133.1704811686543,35.663957669073014,112.91852682236792,156.09836841079925,49.159047756043265,234.70282084893077,67
torque_jerk_rms,137.32857555237405,138.30845186697744,17.827435925910123,124.27807439371098,152.86211211006963,94.51997165565355,169.1592069414799,67
force_jerk_max,255.9710370885604,257.87590935013407,58.8348800226419,214.7299361308044,301.0826096044247,103.80787921979474,361.15317687667124,67
torque_jerk_max,219.14411506415817,221.4220466816691,14.04872593670256,214.64116215089592,228.4973714490141,169.01645215322506,235.17206661924158,67
force_reversals,20.98507462686567,20.0,6.241339544723414,16.0,24.0,10.0,38.0,67
torque_reversals,16.62686567164179,16.0,4.811085119506517,13.0,19.5,8.0,30.0,67
pct_extreme_force,23.2845311872362,22.22222222222222,10.396825227474457,14.303959131545337,31.50375939849624,6.896551724137931,48.0,67
pct_extreme_torque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
time_extreme_force,0.7550746268656718,0.8300000000000001,0.35697539654770183,0.56,1.11,0.28,1.6800000000000002,67
time_extreme_torque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
force_total_variation,45.03255629340419,40.17068734593939,19.709118478308387,29.623283952298394,58.95725906461108,9.247707087842219,98.41844380730561,67
torque_total_variation,3.650585561259954,3.4657153558504157,1.147474954810483,2.9576057272048244,4.21527863291281,1.6708258151188273,7.088184110172421,67
n_steps,23.98507462686567,23.0,6.241339544723414,19.0,27.0,13.0,41.0,67
n_commands,23.98507462686567,23.0,6.241339544723414,19.0,27.0,13.0,41.0,67
duration,3.2079104477611935,3.0699999999999994,0.8737875362612778,2.51,3.63,1.6700000000000002,5.59,67
original_steps,321.7910447761194,308.0,87.37875362612779,252.0,364.0,168.0,560.0,67
compression_ratio,13.377725650278974,13.391304347826088,0.15751719001476794,13.263157894736842,13.481481481481481,12.923076923076923,13.658536585365853,67
