,mean,median,std,q25,q75,min,max,count
force_mean,10.058856887900392,10.027788356328374,1.6079650808561736,9.22183458533994,11.239956,3.9812759999999994,14.110754471129308,99
force_std,5.221171432626925,5.363961507090385,0.9686317897379589,4.6776377310202655,5.959889313519627,2.006912244506574,7.11202488245816,99
force_variance,28.189401425050356,28.772083049547362,9.520139190422341,21.880298726840458,35.52054159728442,4.027696757150415,50.580897928704,99
force_min,0.9940417621290499,0.35193599999999997,1.7525576750534833,0.35193599999999997,0.35193599999999997,0.35193599999999997,9.02995690172309,99
force_max,14.869296,14.869296,0.0,14.869296,14.869296,14.869296,14.869296,99
torque_mean,-0.02870248695713479,-0.02084164399777858,0.09980122360858593,-0.08025129514333779,0.03166429588518383,-0.34445083210327354,0.1773431086816295,99
torque_std,0.2722607253280407,0.26437499249613655,0.0857408243235844,0.21699800962092758,0.3270926552487642,0.07755294087565187,0.465453827286119,99
torque_variance,0.08140313404763971,0.06989413665733225,0.0475785090132481,0.04708903427340311,0.10699924102948716,0.006014458638462355,0.21664726533529632,99
torque_min,-0.47337719725695676,-0.6351344999999999,0.19797813716046778,-0.6351344999999999,-0.29829125334592865,-0.6351344999999999,-0.0033922141520313395,99
torque_max,0.39896582037191997,0.43427947751687274,0.2347624510594337,0.19292007470439435,0.6351344999999999,-0.05118096445062734,0.6351344999999999,99
max_force_rate,1328.6495192458863,1451.7359999999999,233.8122761285943,1325.6002021591698,1451.7359999999999,552.2635325203977,1451.7359999999999,99
mean_force_rate,4.704295049034655,4.640878402869624,1.550228612994414,3.462775953652905,5.818581162324649,0.7594908924863006,8.213391156565486,99
max_torque_rate,75.85218285797825,73.74145986236678,25.64941762775372,62.1051697410161,90.46948026202602,13.491738995587687,127.02689999999998,99
mean_torque_rate,0.28398065325951716,0.26226130261525876,0.122407008291543,0.20006931194593192,0.3643931538523848,0.05321241550137332,0.6593861698872765,99
force_jerk_rms,9949.507144423616,9842.718228690488,2476.6596820248596,8256.694712630491,11822.891499880985,3037.9659493017034,14553.790069826582,99
torque_jerk_rms,558.7582633828198,540.4371605167081,202.50837153074139,427.7649193948239,705.0311612272117,104.63708583835304,1076.1193103220548,99
force_jerk_max,132864.95192458862,145173.59999999998,23381.227612859428,132560.020215917,145173.59999999998,55226.35325203977,145173.59999999998,99
torque_jerk_max,7585.218285797825,7374.145986236678,2564.941762775372,6210.516974101609,9046.9480262026,1349.1738995587687,12702.689999999999,99
force_reversals,10.303030303030303,10.0,5.1059280182591475,8.0,14.0,2.0,24.0,99
torque_reversals,14.181818181818182,14.0,5.071657210869442,10.0,17.0,4.0,28.0,99
pct_extreme_force,48.38455796965234,49.652432969215496,16.171556012264748,35.416666666666664,60.0,16.666666666666664,87.5,99
pct_extreme_torque,15.608356384310971,14.285714285714285,12.509990204322303,7.145409986725212,25.0,0.0,50.0,99
time_extreme_force,3.8513131313131312,4.0,1.4549343532877452,3.0,5.0,1.0,7.0,99
time_extreme_torque,1.2424242424242424,1.0,1.011070448007892,1.0,2.0,0.0,5.0,99
force_total_variation,37.891600980587015,34.265780110484364,17.158284719889043,29.034719999999997,43.65343397084632,6.0683322309655425,100.85534789122534,99
torque_total_variation,2.335672702081109,1.9155562339684316,1.284286868251065,1.5413167046180396,2.917240067502708,0.24144644855039854,6.6474065401797775,99
n_steps,820.2020202020202,800.0,254.32989101807303,695.5,1000.0,300.0,1500.0,99
n_commands,820.2020202020202,800.0,254.32989101807303,695.5,1000.0,300.0,1500.0,99
duration,8.202020202020202,8.0,2.54329891018073,6.955,10.0,3.0,15.0,99
