force_mean,force_std,force_variance,force_min,force_max,torque_mean,torque_std,torque_variance,torque_min,torque_max,max_force_rate,mean_force_rate,max_torque_rate,mean_torque_rate,force_jerk_rms,torque_jerk_rms,force_jerk_max,torque_jerk_max,force_reversals,torque_reversals,pct_extreme_force,pct_extreme_torque,time_extreme_force,time_extreme_torque,force_total_variation,torque_total_variation,n_steps,n_commands,duration
11.965823999999996,5.806944,33.720598619136,0.35193599999999997,14.869296,-0.05272416416613033,0.3239884787395632,0.10496853435597639,-0.6351344999999999,0.3653366524532969,1451.7359999999999,5.818581162324649,100.04711524532968,0.33296070332915995,13010.769137521404,740.8073975260909,145173.59999999998,10004.711524532968,4,8,80.0,20.0,4.0,1.0,29.034719999999997,1.6614739096125082,500,500,5.0
9.062351999999997,7.11202488245816,50.580897928704,0.35193599999999997,14.869296,0.022252490709680422,0.31898538613516075,0.10175167656779761,-0.26384555612370664,0.6351344999999999,1451.7359999999999,2.9092905811623244,81.28685435564238,0.2328620302826773,9200.003085594033,533.2089140056185,145173.59999999998,8128.685435564237,2,8,60.0,20.0,3.0,1.0,14.517359999999998,1.1619815311105597,500,500,5.0
10.28552808099653,5.428279997459593,29.46622373081992,0.35193599999999997,14.869296,0.0732615793936794,0.2552346779707412,0.06514474083882794,-0.06886297968780632,0.6351344999999999,1451.7359999999999,5.794300116998667,70.16530950219861,0.25881510548086184,10803.909398844296,568.282758935645,145173.59999999998,7016.530950219861,8,10,50.93378607809848,16.97792869269949,3.0,1.0,34.07048468795217,1.5218328202274678,589,589,5.89
11.239956,6.286201277942029,39.5163265068,0.35193599999999997,14.869296,-0.03946497961666972,0.07755294087565187,0.006014458638462355,-0.17153390504113528,0.02698362104014883,1451.7359999999999,7.276872180451127,19.85175260812841,0.061837204615353324,14553.790069826582,143.512300864694,145173.59999999998,1985.175260812841,4,6,75.0,0.0,3.0,0.0,29.034719999999997,0.24673044641525976,400,400,4.0
9.310877420679688,6.576314504489504,43.24791246195903,0.35193599999999997,14.869296,-0.11464999455678046,0.3520279434052173,0.12392367293810687,-0.6351344999999999,0.4723770122668596,1451.7359999999999,4.902114465019222,92.07101299200978,0.515545293226788,10782.477956766885,828.9854692907231,145173.59999999998,9207.101299200978,6,12,57.14285714285714,14.285714285714285,4.0,1.0,34.265780110484364,3.6036615996552483,700,700,7.0
12.449736,5.410300635639391,29.271352968,0.35193599999999997,14.869296,0.15974570813436986,0.263256135792261,0.06930379303227334,-0.21147811712654926,0.43625192528789813,1451.7359999999999,4.847198664440734,64.77300424144474,0.1637268001100305,11873.179955425294,395.8801581264545,145173.59999999998,6477.300424144473,4,10,83.33333333333334,0.0,5.0,0.0,29.034719999999997,0.9807235326590826,600,600,6.0
12.668850162064947,4.656235717258732,21.680531054675942,0.35193599999999997,14.869296,-0.17921163461366335,0.21794568781468768,0.0475003228370173,-0.518372605780975,0.09055408363048864,1451.7359999999999,4.405786994753166,51.285195813693264,0.18521151389446214,10311.462181580382,355.98758215998805,145173.59999999998,5128.519581369326,8,16,77.77777777777779,0.0,7.0,0.0,39.60802508283096,1.6650515099112146,900,900,9.0
11.289297115020963,3.7751706377287233,14.251913343969095,5.207925669129768,14.869296,-0.016598743571803565,0.4257191747002483,0.1812368157074605,-0.6351344999999999,0.6351344999999999,966.1370330870233,5.4507512603485795,120.42214629386723,0.6482294975633254,9286.520869657563,1037.331122030561,96613.70330870233,12042.214629386723,16,18,50.0,30.0,5.0,3.0,54.45300509088231,6.47581268065762,1000,1000,10.0
9.776746214862184,5.943734813249562,35.3279835302348,0.35193599999999997,14.869296,-0.14760463551477968,0.28602271578983945,0.08180899394779527,-0.6351344999999999,0.14310858723939168,1451.7359999999999,3.5846272869525433,63.42075723669084,0.19793972715246838,8877.438264248121,453.254672214406,145173.59999999998,6342.075723669084,6,12,50.0,25.0,4.0,2.0,28.641172022750823,1.5815384199482225,800,800,8.0
9.796537071502174,6.6047874924869525,43.62321782091209,0.35193599999999997,14.869296,-0.13495761700056033,0.19563489817953558,0.03827301338571726,-0.6351344999999999,0.0018290491597816063,1451.7359999999999,6.896048989734995,61.73326884709211,0.20496816960989164,13852.087861504491,433.87061688823877,145173.59999999998,6173.326884709211,8,14,62.5,12.5,5.0,1.0,55.09943142798261,1.6376956751830343,800,800,8.0
